key,press_time,release_time,hold_time,flight_time
o,1739966522.5203855,1739966522.602385,0.0819993019104003,0.168285846710205
m,1739966522.7166457,1739966522.8066945,0.0900487899780273,0.1962599754333496
e,1739966522.857455,1739966522.9441743,0.0867195129394531,0.1408092975616455
t,1739966522.9856522,1739966523.0586543,0.0730023384094238,0.1281971931457519
r,1739966523.181358,1739966523.281912,0.1005539894104003,0.1957058906555175
i,1739966523.4550111,1739966523.536445,0.0814337730407714,0.2736530303955078
c,1739966523.554364,1739966523.654708,0.100344181060791,0.0993528366088867
Key.space,1739966523.722288,1739966523.8004603,0.0781722068786621,0.167924165725708
s,1739966524.3094726,1739966524.4287903,0.1193177700042724,0.5871844291687012
e,1739966524.692708,1739966524.7967882,0.1040802001953125,0.3832354545593261
c,1739966525.0423646,1739966525.1472087,0.1048440933227539,0.3496565818786621
u,1739966525.229967,1739966525.3109553,0.0809881687164306,0.1876025199890136
r,1739966525.361654,1739966525.456839,0.0951852798461914,0.1316869258880615
i,1739966525.5027611,1739966525.5932834,0.090522289276123,0.1411070823669433
t,1739966525.7440512,1739966525.8213258,0.0772745609283447,0.2412900924682617
y,1739966525.903875,1739966525.994809,0.0909335613250732,0.1598238945007324
Key.space,1739966526.0801866,1739966526.1624975,0.0823109149932861,0.1763114929199218
i,1739966527.1109548,1739966527.2104197,0.0994648933410644,1.0307681560516355
m,1739966527.3109388,1739966527.3886423,0.0777034759521484,0.199984073638916
p,1739966527.5202432,1739966527.6070056,0.0867624282836914,0.2093043327331543
r,1739966527.706141,1739966527.785128,0.0789871215820312,0.1858978271484375
o,1739966527.7897675,1739966527.8811097,0.0913422107696533,0.0836265087127685
v,1739966528.03978,1739966528.1215546,0.0817744731903076,0.2500126361846924
e,1739966528.1447968,1739966528.2260668,0.0812699794769287,0.1050167083740234
s,1739966528.390391,1739966528.499185,0.1087939739227294,0.2455945014953613
Key.space,1739966528.531734,1739966528.6317952,0.1000611782073974,0.1413426399230957
a,1739966529.170206,1739966529.2840786,0.1138725280761718,0.6384720802307129
u,1739966529.3427172,1739966529.4386065,0.0958890914916992,0.1725111007690429
t,1739966529.7071304,1739966529.779606,0.0724756717681884,0.3644132614135742
h,1739966529.8886602,1739966529.9707355,0.0820753574371337,0.1815297603607177
e,1739966529.9934916,1739966530.0804603,0.0869688987731933,0.1048314571380615
n,1739966530.103054,1739966530.1938045,0.0907502174377441,0.1095623970031738
t,1739966530.3486977,1739966530.4171672,0.0684695243835449,0.2456436157226562
i,1739966530.549046,1739966530.6319582,0.0829122066497802,0.2003483772277832
c,1739966530.653846,1739966530.7310982,0.0772521495819091,0.1047999858856201
a,1739966530.8765142,1739966530.9675355,0.0910215377807617,0.222668170928955
t,1739966530.9854045,1739966531.0586274,0.0732231140136718,0.1088900566101074
i,1739966531.1865635,1739966531.2638607,0.0772972106933593,0.2011592388153076
o,1739966531.3600051,1739966531.44629,0.0862848758697509,0.1734416484832763
n,1739966531.5651,1739966531.6553018,0.0902018547058105,0.2050948143005371
Key.space,1739966531.7280746,1739966531.800194,0.0721194744110107,0.1629745960235595
a,1739966532.7440798,1739966532.8440175,0.0999379158020019,1.016005277633667
c,1739966532.953425,1739966533.0217354,0.0683104991912841,0.2093451023101806
c,1739966533.085902,1739966533.1579092,0.0720071792602539,0.1324770450592041
u,1739966533.308184,1739966533.3909,0.0827162265777587,0.2222819328308105
r,1739966533.403648,1739966533.47707,0.0734219551086425,0.0954642295837402
a,1739966533.6318672,1739966533.7227764,0.0909092426300048,0.2282190322875976
c,1739966533.8973465,1739966533.9828212,0.0854749679565429,0.2654790878295898
y,1739966534.0916023,1739966534.178303,0.0867006778717041,0.1942560672760009
Key.space,1739966534.2608202,1739966534.3335848,0.0727646350860595,0.169217824935913
Key.backspace,1739966534.702948,1739966534.8205698,0.1176216602325439,0.4421279430389404
.,1739966534.916784,1739966535.0077174,0.0909333229064941,0.2138359546661377
Key.space,1739966535.0899851,1739966535.167204,0.077219009399414,0.1732010841369629
Key.caps_lock,1739966535.4532547,1739966535.5722191,0.1189644336700439,0.363269567489624
c,1739966535.6139667,1739966535.6769724,0.0630056858062744,0.1607120037078857
Key.caps_lock,1739966535.699005,1739966535.7902458,0.0912408828735351,0.0850381851196289
y,1739966535.8500824,1739966535.9224384,0.0723559856414794,0.1510775089263916
b,1739966536.0322688,1739966536.1238313,0.0915625095367431,0.1821863651275634
e,1739966536.124833,1739966536.2337313,0.1088981628417968,0.0925643444061279
r,1739966536.3063684,1739966536.3917117,0.0853431224822998,0.1815352439880371
s,1739966536.5514536,1739966536.6249912,0.0735375881195068,0.2450852394104004
e,1739966536.715388,1739966536.7922037,0.0768156051635742,0.1639344692230224
c,1739966536.9340158,1739966537.015206,0.0811903476715087,0.2186276912689209
u,1739966537.102308,1739966537.1892483,0.0869402885437011,0.1682922840118408
r,1739966537.238439,1739966537.338825,0.1003856658935546,0.1361312866210937
i,1739966537.3669708,1739966537.4630172,0.0960464477539062,0.1285314559936523
t,1739966537.4942443,1739966537.5894692,0.0952248573303222,0.1272735595703125
y,1739966537.6393173,1739966537.7268186,0.0875012874603271,0.1450729370117187
Key.space,1739966537.8084526,1739966537.8856564,0.0772037506103515,0.1691353321075439
o,1739966537.995868,1739966538.0681753,0.0723073482513427,0.1874153614044189
i,1739966537.9947376,1739966538.076707,0.0819692611694336,-0.0011303424835205
s,1739966538.1225626,1739966538.208438,0.0858752727508544,0.1278250217437744
Key.backspace,1739966538.400771,1739966538.4820223,0.0812513828277587,0.2782082557678222
Key.backspace,1739966538.5557368,1739966538.654883,0.0991461277008056,0.1549658775329589
i,1739966539.1790612,1739966539.273856,0.094794750213623,0.6233243942260742
s,1739966539.2933934,1739966539.3794332,0.0860397815704345,0.1143321990966796
Key.space,1739966539.529255,1739966539.6162732,0.0870184898376464,0.2358613014221191
t,1739966539.6892383,1739966539.7751367,0.0858981609344482,0.1599838733673095
h,1739966539.8572907,1739966539.9617405,0.1044497489929199,0.1680521965026855
r,1739966539.9850285,1739966540.0442932,0.0592648983001709,0.1277375221252441
e,1739966539.9758527,1739966540.0618076,0.0859549045562744,-0.0091755390167236
Key.space,1739966540.0618076,1739966540.152826,0.0910184383392334,0.0859549045562744
b,1739966541.364184,1739966541.4548523,0.0906682014465332,1.3023765087127686
e,1739966541.4558525,1739966541.5320685,0.0762159824371337,0.0916683673858642
s,1739966541.6459026,1739966541.7373066,0.0914039611816406,0.1900501251220703
t,1739966541.7507875,1739966541.8420565,0.09126877784729,0.1048848628997802
Key.space,1739966541.9186797,1739966542.011022,0.0923423767089843,0.1678922176361084
f,1739966542.193288,1739966542.2931397,0.099851369857788,0.2746083736419678
i,1739966542.3567169,1739966542.4530902,0.0963733196258544,0.163428783416748
e,1739966542.4842844,1739966542.571011,0.0867266654968261,0.1275675296783447
l,1739966542.6025722,1739966542.703184,0.1006116867065429,0.1182878017425537
d,1739966542.7167945,1739966542.8221347,0.1053404808044433,0.1142220497131347
Key.space,1739966542.8221347,1739966542.9172344,0.0950996875762939,0.1053404808044433
i,1739966543.113192,1739966543.2093425,0.0961503982543945,0.2910573482513428
n,1739966543.3141656,1739966543.4088898,0.0947241783142089,0.2009735107421875
Key.space,1739966543.449763,1739966543.5363898,0.0866267681121826,0.1355974674224853
t,1739966543.6641593,1739966543.731938,0.0677785873413086,0.2143962383270263
h,1739966543.836825,1739966543.9475603,0.1107354164123535,0.1726655960083007
e,1739966543.9743834,1739966544.079296,0.1049127578735351,0.1375584602355957
Key.space,1739966544.079296,1739966544.1694713,0.0901751518249511,0.1049127578735351
w,1739966544.251719,1739966544.3378031,0.0860841274261474,0.1724228858947754
h,1739966544.3388412,1739966544.4201932,0.0813519954681396,0.0871222019195556
o,1739966544.5481966,1739966544.6254787,0.0772821903228759,0.209355354309082
l,1739966544.7070332,1739966544.8124187,0.1053855419158935,0.1588366031646728
e,1739966544.8210597,1739966544.9123683,0.0913088321685791,0.1140263080596923
Key.space,1739966544.9123683,1739966545.0072274,0.0948591232299804,0.0913088321685791
w,1739966545.1308668,1739966545.2397418,0.108875036239624,0.2184984683990478
o,1739966545.2350423,1739966545.3265257,0.0914833545684814,0.1041755676269531
r,1739966545.3953328,1739966545.4810684,0.0857355594635009,0.1602904796600341
l,1739966545.5170665,1739966545.6088398,0.0917732715606689,0.1217336654663086
d,1739966545.6406069,1739966545.7359183,0.0953116416931152,0.1235404014587402
Key.space,1739966545.7772343,1739966545.863955,0.0867207050323486,0.1366274356842041
a,1739966546.7843862,1739966546.8898358,0.1054496765136718,1.0071518421173096
n,1739966546.9428525,1739966547.035371,0.0925185680389404,0.1584663391113281
d,1739966547.0443587,1739966547.139624,0.0952653884887695,0.101506233215332
Key.space,1739966547.170971,1739966547.24019,0.0692191123962402,0.1266121864318847
Key.caps_lock,1739966547.3949502,1739966547.4771967,0.0822465419769287,0.2239792346954345
a,1739966547.3959906,1739966547.4811175,0.0851271152496337,0.0010404586791992
i,1739966547.4628851,1739966547.5682445,0.1053593158721923,0.06689453125
Key.backspace,1739966548.3934357,1739966548.4780877,0.0846521854400634,0.9305503368377686
Key.backspace,1739966548.9800344,1739966549.079958,0.0999236106872558,0.5865988731384277
i,1739966549.2984405,1739966549.3988583,0.1004180908203125,0.3184061050415039
Key.caps_lock,1739966549.4579113,1739966549.571475,0.1135637760162353,0.159470796585083
Key.space,1739966549.648398,1739966549.7449052,0.0965073108673095,0.1904866695404052
w,1739966549.941213,1739966550.0671885,0.1259756088256836,0.2928147315979004
Key.backspace,1739966550.5330005,1739966550.6382232,0.1052227020263671,0.5917878150939941
l,1739966550.7699995,1739966550.866418,0.0964186191558837,0.2369990348815918
o,1739966550.952416,1739966551.0304253,0.0780093669891357,0.1824164390563964
v,1739966551.16701,1739966551.2445295,0.077519416809082,0.2145941257476806
b,1739966551.1760492,1739966551.2492545,0.0732052326202392,0.0090391635894775
