x,y,timestamp
658,653,1738407793.6879704
623,646,1738407793.6932251
599,640,1738407793.6932251
573,637,1738407793.7041786
567,636,1738407793.710345
561,636,1738407793.7232687
560,636,1738407793.7305708
561,636,1738407793.7544296
574,636,1738407793.7627456
608,636,1738407793.771854
680,624,1738407793.7792134
749,613,1738407793.7861667
826,598,1738407793.7931519
893,588,1738407793.7981496
970,570,1738407793.8005712
1034,558,1738407793.8135574
1110,539,1738407793.8210595
1166,525,1738407793.8283553
1237,499,1738407793.8354378
1305,471,1738407793.8423147
1340,449,1738407793.8493235
1364,427,1738407793.8561485
1375,409,1738407793.8633492
1381,389,1738407793.870162
1382,367,1738407793.877797
1381,352,1738407793.884722
1369,321,1738407793.8913217
1354,297,1738407793.8983893
1333,276,1738407793.9049556
1307,250,1738407793.9129806
1267,225,1738407793.9189136
1227,206,1738407793.9258342
1176,190,1738407793.933934
1126,184,1738407793.9403129
1075,184,1738407793.9474952
1032,191,1738407793.954112
984,204,1738407793.9615319
947,221,1738407793.9679403
920,238,1738407793.9750383
889,263,1738407793.982391
871,283,1738407793.98973
848,318,1738407793.9969478
833,360,1738407794.002707
831,383,1738407794.009658
829,424,1738407794.017057
833,471,1738407794.0235264
848,528,1738407794.031795
868,582,1738407794.0387337
891,625,1738407794.0457256
934,685,1738407794.0525422
984,733,1738407794.0566015
1027,760,1738407794.0649378
1074,780,1738407794.0714478
1130,790,1738407794.0794668
1190,792,1738407794.08695
1248,780,1738407794.094924
1305,764,1738407794.1010375
1352,745,1738407794.1089635
1406,714,1738407794.1141517
1445,681,1738407794.1212492
1482,639,1738407794.1290207
1512,598,1738407794.1375618
1529,566,1738407794.1425002
1541,518,1738407794.147794
1538,474,1738407794.1570163
1534,447,1738407794.1603043
1518,416,1738407794.1709318
1499,386,1738407794.1783993
1477,363,1738407794.185369
1457,344,1738407794.1923456
1441,335,1738407794.1990082
1427,330,1738407794.2065063
1413,329,1738407794.2135706
1400,329,1738407794.2192795
1383,330,1738407794.228572
1360,341,1738407794.2331364
1341,355,1738407794.2385745
1325,370,1738407794.2469494
1301,405,1738407794.2524836
1283,452,1738407794.2631624
1279,478,1738407794.2695086
1271,521,1738407794.277286
1270,562,1738407794.2837293
1270,597,1738407794.2874124
1270,635,1738407794.2942774
1270,662,1738407794.3055282
1268,682,1738407794.3076491
1265,693,1738407794.3076491
1263,703,1738407794.3214424
1256,713,1738407794.3286238
1248,719,1738407794.337312
1232,724,1738407794.3459764
1215,729,1738407794.3530312
1179,734,1738407794.3580291
1135,734,1738407794.3641126
1112,732,1738407794.375151
1072,725,1738407794.3794632
1029,712,1738407794.3841245
985,695,1738407794.393111
932,670,1738407794.4038043
887,647,1738407794.4111865
846,620,1738407794.4168227
821,598,1738407794.4215539
798,578,1738407794.4256458
776,546,1738407794.4387608
769,526,1738407794.4441385
768,503,1738407794.4463928
771,487,1738407794.4598212
788,456,1738407794.466842
821,419,1738407794.4736187
842,398,1738407794.4806623
878,370,1738407794.4875615
923,342,1738407794.4945455
979,315,1738407794.501409
1044,292,1738407794.5089023
1124,275,1738407794.5158427
1191,262,1738407794.5224566
1246,258,1738407794.5295093
1295,259,1738407794.5370042
1350,265,1738407794.5436265
1396,279,1738407794.550596
1444,307,1738407794.5580032
1469,325,1738407794.56484
1496,354,1738407794.57177
1517,391,1738407794.5786626
1520,407,1738407794.5857213
1527,434,1738407794.5929387
1528,459,1738407794.6000078
1528,481,1738407794.6067948
1528,497,1738407794.6137507
1528,512,1738407794.6208892
1527,525,1738407794.6279337
1527,536,1738407794.6348724
1527,548,1738407794.6415682
1527,560,1738407794.6485205
1531,571,1738407794.655377
1537,580,1738407794.6629024
1543,588,1738407794.6692703
1557,598,1738407794.6777236
1573,603,1738407794.6832151
1588,605,1738407794.6914334
1617,603,1738407794.697052
1654,598,1738407794.7046268
1692,585,1738407794.7107754
1731,566,1738407794.7194858
1763,546,1738407794.725531
1788,528,1738407794.7322767
1814,504,1738407794.7405875
1827,487,1738407794.745825
1831,475,1738407794.7521164
1831,463,1738407794.7591162
1827,445,1738407794.7661726
1814,426,1738407794.774988
1791,405,1738407794.7803347
1766,388,1738407794.7892694
1734,369,1738407794.7969189
1671,343,1738407794.8015058
1625,330,1738407794.8083265
1551,319,1738407794.816868
1501,315,1738407794.824745
1428,315,1738407794.830522
1365,325,1738407794.837221
1317,334,1738407794.8452241
1264,354,1738407794.8493595
1217,378,1738407794.8580928
1172,402,1738407794.8636703
1121,434,1738407794.8735652
1082,468,1738407794.8801837
1040,503,1738407794.8863313
1003,540,1738407794.8939748
957,590,1738407794.9007022
910,636,1738407794.905298
871,669,1738407794.9158287
837,699,1738407794.9189591
815,714,1738407794.92877
789,729,1738407794.935743
758,739,1738407794.9393167
746,741,1738407794.948333
724,741,1738407794.953379
700,737,1738407794.9604468
677,726,1738407794.9672885
655,711,1738407794.9763417
644,698,1738407794.980896
633,682,1738407794.9900215
628,669,1738407794.999135
624,654,1738407795.0063357
624,637,1738407795.0100756
630,613,1738407795.0158305
640,582,1738407795.0242956
653,559,1738407795.0344055
683,513,1738407795.0367227
722,464,1738407795.0451279
751,432,1738407795.0537271
794,387,1738407795.0617955
847,341,1738407795.069056
901,304,1738407795.071949
965,270,1738407795.0847945
1022,251,1738407795.0918725
1075,239,1738407795.098301
1116,238,1738407795.1052241
1163,238,1738407795.112216
1214,248,1738407795.1192024
1259,260,1738407795.1261303
1293,276,1738407795.1340642
1317,290,1738407795.1413941
1343,312,1738407795.1479523
1368,334,1738407795.155023
1382,349,1738407795.161467
1400,372,1738407795.1682684
1418,397,1738407795.175599
1434,419,1738407795.1825757
1448,443,1738407795.1906915
1460,462,1738407795.196535
1467,475,1738407795.2038267
1472,483,1738407795.211204
1480,490,1738407795.2173455
1486,496,1738407795.2245126
1491,499,1738407795.2312284
1494,500,1738407795.2384386
1496,500,1738407795.2455144
1499,500,1738407795.2523856
1500,500,1738407795.2595766
1501,500,1738407795.2664695
1501,500,1738407795.2731898
1503,500,1738407795.2805643
1503,499,1738407795.2878232
1503,493,1738407795.2940955
1493,480,1738407795.3012898
1456,440,1738407795.3086429
1418,416,1738407795.3156815
1373,394,1738407795.32185
1297,366,1738407795.3298275
1226,345,1738407795.3360274
1154,326,1738407795.343097
1077,313,1738407795.3498898
1008,304,1738407795.3583317
905,302,1738407795.3648612
813,306,1738407795.3705647
736,314,1738407795.378574
656,329,1738407795.3858187
573,347,1738407795.392387
487,371,1738407795.4008808
421,394,1738407795.4063501
367,414,1738407795.4128308
331,429,1738407795.421271
302,441,1738407795.4269986
282,451,1738407795.43559
275,454,1738407795.440597
271,456,1738407795.4466777
271,456,1738407795.4561439
271,456,1738407795.4741516
271,456,1738407795.4741516
274,456,1738407795.4907024
283,456,1738407795.4972699
312,451,1738407795.5040848
354,444,1738407795.512911
392,435,1738407795.51589
419,429,1738407795.5253465
453,424,1738407795.5311317
484,420,1738407795.5396352
514,419,1738407795.5452406
539,419,1738407795.5515177
559,425,1738407795.5603778
592,439,1738407795.5651152
623,464,1738407795.5731826
638,480,1738407795.5795252
664,510,1738407795.5863645
694,547,1738407795.592858
740,594,1738407795.6009653
784,630,1738407795.6084065
827,660,1738407795.6180937
875,686,1738407795.6197228
908,696,1738407795.6269736
969,708,1738407795.6380253
1018,710,1738407795.6453464
1059,709,1738407795.6494985
1093,706,1738407795.6588407
1120,700,1738407795.6668925
1139,693,1738407795.6740437
1149,689,1738407795.6781058
1155,684,1738407795.6860666
1156,680,1738407795.6939368
1155,674,1738407795.6977997
1147,664,1738407795.7069395
1137,654,1738407795.716362
1122,644,1738407795.717208
1088,626,1738407795.7255068
1050,613,1738407795.7366045
1006,600,1738407795.7432659
959,594,1738407795.7495852
912,592,1738407795.7581935
857,597,1738407795.7639873
815,605,1738407795.7673326
779,615,1738407795.7792363
752,625,1738407795.7861333
728,638,1738407795.7930982
712,647,1738407795.7991636
703,655,1738407795.8019595
700,662,1738407795.8140585
699,667,1738407795.8209856
702,678,1738407795.8289285
712,693,1738407795.8360276
721,701,1738407795.8415992
740,715,1738407795.8489513
773,727,1738407795.8539753
806,739,1738407795.859354
846,747,1738407795.8701026
896,750,1738407795.877105
940,748,1738407795.8843827
979,742,1738407795.8905287
1027,733,1738407795.8982072
1071,718,1738407795.905372
1115,700,1738407795.911756
1149,682,1738407795.9194002
1176,667,1738407795.9260232
1210,647,1738407795.9340613
1232,624,1738407795.9405031
1240,614,1738407795.9474401
1247,598,1738407795.954223
1251,579,1738407795.9614468
1251,559,1738407795.968258
1245,538,1738407795.9761443
